"ResponseId","item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_31","item_32","item_33","item_34","item_35","item_36","item_37","item_38","item_39","item_40","item_41","item_42","item_43","item_44","item_45","item_46","item_47","item_48","item_49","item_50","item_51","gender","year_of_study","ethnicity","HM_or_not","stats_mod_num","sem"
"R_4nWr8BYA4isxak9","5","4","2","4","4","2","5","5","1","3","3","4","4","2","4","1","2","2","2","2","3","4","1","3","5","4","4","3","2","2","2","1","2","3","4","4","5","5","4","4","2","3","3","2","2","3","2","2","4","4","5","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4CE8Rb80mQdQT9u","2","3","2","4","2","3","5","2","4","2","3","1","4","2","2","1","1","3","2","4","2","4","2","1","2","1","2","4","4","5","5","5","4","4","5","4","4","4","4","5","4","4","2","4","5","3","5","3","5","5","4","Female",4,"Chinese","HM",1,"AY24Sem2"
"R_44QHgJlilf6EyXL","5","4","3","4","2","2","5","5","2","5","2","3","5","1","5","3","1","2","3","3","4","5","2","2","2","1","1","2","1","2","1","2","1","1","1","3","1","1","3","1","1","1","3","3","1","3","1","3","1","1","1","Male",4,"Chinese","HM",4,"AY24Sem2"
"R_4r9tPsOySMBYMjv","3","2","2","3","1","3","2","4","2","4","3","2","3","1","4","2","2","1","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","Female",4,"Chinese","HM",4,"AY24Sem2"
"R_4frRfq05cEsSzIx","4","2","4","2","3","3","3","4","2","4","2","2","3","3","3","4","2","2","3","3","2","4","3","3","5","3","2","2","2","2","3","2","2","3","2","3","2","3","3","3","2","2","2","2","2","2","2","3","2","2","3","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4fwOVrnXODVutGx","4","3","2","3","3","2","4","4","2","4","3","3","4","2","3","2","4","3","3","3","3","4","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","3","2","2","2","2","3","2","3","2","3","2","4","2","Male",4,"Chinese","HM",4,"AY24Sem2"
"R_408J7fmKn43tZYa","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","4","4","3","3","4","5","4","4","3","3","3","2","4","4","5","4","5","5","1","5","2","3","4","3","5","4","2","3","4","5","5","Female",4,"Indian","HM",2,"AY24Sem2"
"R_4vjPSczjQqXoNvb","4","2","2","4","3","2","5","5","2","5","2","4","5","2","4","2","1","4","4","2","5","5","2","1","4","3","2","2","1","2","2","1","2","4","2","3","2","2","4","2","1","1","2","4","4","3","2","4","2","2","4","Female",4,"Other","HM",3,"AY24Sem2"
"R_4LIOwBbxxCN0Umt","5","1","4","4","2","1","4","5","1","4","4","2","5","2","3","3","1","1","2","2","1","4","2","3","5","2","1","2","1","1","5","1","2","2","2","2","2","4","4","3","1","2","2","3","2","2","3","3","3","2","4","Male",4,"Chinese","HM",2,"AY24Sem2"
"R_4OoTMGGILzcBO5g","4","4","2","3","2","2","3","3","1","2","2","1","2","2","2","1","2","1","1","2","1","4","2","1","3","1","1","2","2","2","1","1","2","3","3","2","3","3","3","2","2","1","2","3","2","3","2","2","3","2","2","Male",3,"Chinese","nonHM",2,"AY24Sem2"
"R_4J3L0hc9xCLzxok","4","5","2","2","2","3","5","4","4","2","3","2","3","2","3","2","3","3","2","3","1","1","1","1","3","1","1","1","1","1","2","1","1","2","1","3","2","3","2","1","1","1","3","3","2","2","2","5","1","1","2","Female",3,"Chinese","nonHM",2,"AY24Sem2"
"R_4jPUKHQfSUpRN7z","5","2","1","3","4","3","4","5","1","2","2","4","5","2","5","1","2","2","1","3","5","5","1","5","5","2","2","3","1","1","3","3","1","4","2","3","2","4","5","4","1","1","3","3","4","3","1","5","2","2","3","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_45QsFMKs6XNA8bQ","4","2","4","2","2","2","3","4","1","4","1","3","5","2","4","3","1","3","2","2","1","4","2","1","4","1","2","1","1","1","3","1","2","5","2","4","3","3","4","3","1","2","2","3","4","3","2","5","2","2","4","Male",4,"Chinese","HM",3,"AY24Sem2"
"R_4cGwojTRUMt8FnX","4","3","2","4","3","2","5","5","1","2","3","3","4","4","2","2","1","2","2","3","2","3","2","2","5","4","4","3","1","3","2","2","3","3","4","4","5","5","4","4","1","5","4","4","2","4","2","4","5","5","5","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4QapncHIvG90qpR","4","3","2","3","1","2","3","5","2","3","2","1","3","4","5","2","2","2","2","2","1","4","2","3","4","4","2","4","2","1","2","1","2","3","3","4","4","4","5","5","3","3","1","4","2","1","2","4","1","3","2","Male",4,"Chinese","HM",3,"AY24Sem2"
"R_4tMvaNm332ukZer","1","3","3","5","1","1","1","1","1","3","2","1","3","1","2","1","1","3","2","2","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","2","4","1","1","1","Male",4,"Chinese","HM",4,"AY24Sem2"
"R_4H2Aj194dkTXwSq","4","1","1","2","3","3","4","5","1","5","2","2","2","3","5","1","1","1","1","1","3","2","1","1","3","3","2","2","1","3","1","1","2","1","1","1","1","1","3","2","1","2","3","2","1","1","1","3","3","2","3","Male",4,"Chinese","HM",4,"AY24Sem2"
"R_4ma3ISE086Gglbz","5","1","4","3","1","1","3","5","1","4","2","1","4","2","4","2","1","1","2","1","1","5","2","2","3","4","1","2","1","2","1","1","1","3","3","2","4","4","4","5","2","1","1","3","4","1","1","4","3","2","4","Male",4,"Chinese","HM",2,"AY24Sem2"
"R_4IsfWsFJcbnCgIV","3","3","4","3","2","3","3","5","1","5","4","3","4","4","5","4","3","4","4","3","4","4","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4vdLx0dcj3W77A7","4","1","2","3","1","1","4","5","1","5","1","1","4","3","5","1","1","1","1","1","2","4","1","2","2","2","1","1","1","1","3","1","1","3","1","2","3","4","4","2","1","1","1","1","1","1","1","3","2","1","1","Female",3,"Chinese","nonHM",2,"AY24Sem2"
"R_4B9WohiaHfP2k0N","5","2","2","4","3","2","4","5","3","4","3","4","5","4","4","3","2","1","3","2","2","4","3","2","5","4","2","4","2","1","4","1","2","4","3","2","4","5","3","3","1","3","3","4","4","3","3","4","4","3","4","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4A8qZZQisLObSQF","3","2","2","3","2","3","3","3","2","3","1","2","3","1","2","2","2","1","2","2","2","3","2","3","3","4","2","3","2","2","3","1","2","2","3","3","3","2","3","4","2","3","2","4","3","2","3","3","3","2","3","Female",4,"Chinese","HM",3,"AY24Sem2"
"R_4dY9u5ItsxNEZSF","3","1","1","2","2","1","3","3","1","2","1","1","2","1","2","1","1","1","1","1","1","4","1","2","3","2","1","2","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","2","1","1","1","Male",4,"Chinese","HM",3,"AY24Sem2"
"R_4EB8pMLuWnZnqKZ","4","4","4","4","2","2","4","4","4","4","5","4","4","2","4","2","2","2","2","2","3","3","2","4","4","4","2","4","2","2","5","4","4","4","2","4","4","4","4","4","4","5","4","4","4","2","2","2","4","4","4","Female",3,"Chinese","nonHM",1,"AY24Sem2"
"R_41g8sBNbAbRxDFR","4","4","4","3","3","3","3","4","2","4","4","4","5","3","4","4","3","2","3","2","2","2","2","3","4","2","2","4","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","3","2","2","2","Female",3,"Other","nonHM",4,"AY24Sem2"
"R_4gzfZRllsKurlGV","4","2","4","3","2","2","3","5","1","4","2","1","4","1","4","4","1","3","4","2","1","3","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","4","2","1","2","2","2","2","1","2","Female",4,"Chinese","HM",8,"AY24Sem2"
"R_4QicxoDZTPMzFRL","3","3","4","2","2","2","3","4","1","4","2","2","3","2","4","3","3","3","3","3","2","3","2","2","3","3","2","2","2","2","1","1","1","1","1","1","2","1","1","1","3","2","3","3","2","3","3","3","2","1","2","Female",4,"Chinese","HM",5,"AY24Sem2"
"R_41ysvmnWPhQCBlD","4","1","2","3","1","1","2","5","1","4","1","1","2","2","3","2","1","2","2","2","2","4","2","1","4","2","2","3","2","2","2","2","2","2","2","2","4","4","4","2","2","2","4","2","2","2","2","2","1","1","4","Female",4,"Chinese","HM",3,"AY24Sem2"
"R_4uJ5Szib6P7ssDt","5","3","3","3","3","4","4","4","4","5","2","2","4","2","5","3","4","4","3","4","3","2","3","2","2","3","1","4","1","2","4","1","3","3","3","2","4","4","5","1","1","2","4","2","3","5","4","4","2","3","5","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_45uzP0XdX4z7iDf","5","4","5","5","3","3","4","5","3","5","4","5","4","3","5","5","3","5","5","3","4","4","4","2","5","4","2","3","1","1","4","1","2","2","1","4","3","5","3","3","1","2","4","1","1","4","2","4","2","2","5","Male",4,"Chinese","HM",2,"AY24Sem2"
"R_4dEB1CVPfGGeAYV","5","5","4","4","3","3","4","5","2","5","3","3","5","4","5","3","3","4","3","5","5","4","3","3","4","3","2","4","3","4","2","2","2","2","2","4","4","5","4","5","3","2","4","5","4","5","3","4","3","2","4","Female",4,"Chinese","HM",3,"AY24Sem2"
"R_4RHZpmabDrnJJg5","3","2","2","3","2","1","1","4","1","4","1","1","2","1","2","2","1","1","1","1","2","1","1","2","2","2","3","3","1","1","1","1","1","2","1","2","2","1","2","1","1","2","1","1","3","1","1","1","1","1","1","Male",4,"Chinese","HM",2,"AY24Sem2"
"R_4um8gM7QJUwXsrv","4","3","2","2","3","3","4","5","2","3","3","3","4","3","4","2","2","1","2","3","2","5","3","1","2","1","1","2","1","1","1","1","1","2","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","Female",4,"Chinese","HM",4,"AY24Sem2"
"R_4m4Ss2R9JZNmREz","2","3","4","2","2","2","2","3","2","3","2","1","2","1","3","3","1","1","3","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","3","2","2","3","2","2","2","3","3","2","2","2","2","2","2","2","Male",3,"Chinese","nonHM",2,"AY24Sem2"
"R_47SE6iWnKLk9poR","5","4","5","5","5","5","5","5","4","5","2","5","5","2","3","4","2","4","3","5","5","3","1","3","5","4","3","5","3","2","4","2","1","4","1","5","3","5","5","3","1","3","4","3","2","4","2","3","2","2","5","Female",3,"Chinese","nonHM",2,"AY24Sem2"
"R_4QienzcYgZOI8YR","5","2","2","2","2","3","3","4","1","5","2","2","5","1","3","2","2","2","2","3","3","2","1","2","3","2","3","3","2","4","1","4","1","2","3","1","3","3","1","4","1","1","4","4","1","4","4","3","1","1","3","Male",4,"Chinese","HM",5,"AY24Sem2"
"R_4HT7hyJ0wbghqPb","5","4","3","4","4","4","4","5","2","4","4","4","4","4","4","2","2","1","2","3","2","5","2","4","5","5","5","5","5","2","3","1","2","5","1","5","5","5","5","5","2","2","5","5","1","5","5","5","5","2","5","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4j7YnCMy1myJ6c8","5","2","3","5","3","3","5","5","1","5","5","3","2","1","2","3","1","2","2","4","5","4","2","2","5","4","1","2","1","1","3","1","1","2","2","4","4","4","3","2","1","1","2","4","4","3","2","2","1","1","4","Male",4,"Malay","HM",2,"AY24Sem2"
"R_4spkR3txOs7UkzR","5","3","4","5","4","2","5","5","1","4","3","4","2","2","4","4","1","1","4","2","2","1","4","3","4","4","4","2","1","4","3","4","2","3","2","4","4","4","4","4","2","2","4","5","5","5","5","4","2","2","5","Female",4,"Other","HM",3,"AY24Sem2"
"R_4Qhw1l7Hs9mIEPf","4","3","3","3","3","3","3","5","3","4","3","3","5","3","4","3","3","3","3","3","3","5","3","2","3","3","3","3","3","2","3","2","3","2","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","Female",4,"Chinese","HM",2,"AY24Sem2"
"R_4htcqIvyQEPyNvr","3","2","4","3","1","2","2","4","1","3","2","3","3","3","3","2","2","3","4","2","1","2","3","3","4","3","2","2","1","2","2","1","3","2","2","4","4","3","4","3","2","2","1","5","2","1","1","4","2","3","2","Female",4,"Indian","HM",2,"AY24Sem2"
